date,オ,ロ,ソ,楽,西,日
2026-07-03,1486.02,1521.22,1595.47,1430.18,1539.62,1575.67
2026-07-04,1486.02,1530.91,1585.79,1441.34,1539.62,1564.50
2026-07-05,1495.25,1524.16,1592.54,1436.07,1530.40,1569.78
2026-07-07,1489.43,1533.21,1598.35,1430.19,1536.28,1560.74
2026-07-08,1499.86,1525.84,1587.92,1440.56,1525.91,1568.10
2026-07-09,1499.86,1525.84,1587.92,1440.56,1525.91,1568.10
2026-07-10,1492.46,1533.24,1576.72,1451.76,1534.87,1559.14
2026-07-11,1501.39,1524.31,1581.96,1446.52,1527.43,1566.58
2026-07-12,1509.92,1515.78,1586.99,1441.49,1536.33,1557.68
2026-07-14,1500.36,1508.25,1594.32,1451.04,1543.86,1550.35
2026-07-15,1491.24,1501.07,1585.31,1460.17,1551.04,1559.36
2026-07-16,1482.52,1510.21,1592.71,1468.88,1541.90,1551.96
2026-07-17,1482.52,1510.21,1592.71,1468.88,1541.90,1551.96
2026-07-18,1476.10,1504.08,1598.85,1478.54,1532.24,1558.38
2026-07-19,1469.96,1498.21,1604.72,1471.77,1539.01,1564.52
2026-07-20,1480.09,1492.59,1610.34,1465.30,1545.48,1554.40
2026-07-21,1490.95,1492.59,1599.47,1465.30,1545.48,1554.40
2026-07-22,1485.37,1499.96,1605.05,1457.92,1553.69,1546.19
2026-07-23,1480.02,1491.00,1610.40,1466.89,1545.52,1554.36
2026-07-24,1488.28,1482.74,1616.93,1466.89,1538.99,1554.36
2026-07-25,1496.15,1474.87,1607.16,1460.86,1548.76,1560.39
2026-07-26,1487.66,1483.36,1613.83,1455.09,1542.09,1566.16
2026-07-31,1496.90,1477.23,1613.83,1455.09,1532.85,1572.29
2026-08-01,1489.73,1487.37,1618.41,1450.51,1540.02,1562.15
2026-08-02,1482.88,1481.06,1622.82,1446.10,1546.87,1568.46
2026-08-03,1490.03,1481.06,1622.82,1438.95,1546.87,1568.46
2026-08-04,1490.03,1490.56,1629.58,1438.95,1537.37,1561.70
2026-08-05,1496.87,1499.63,1636.03,1432.11,1528.30,1555.24
2026-08-06,1487.39,1499.63,1626.20,1441.59,1528.30,1565.07
2026-08-07,1495.67,1491.35,1632.01,1436.32,1522.50,1570.34
2026-08-08,1487.57,1499.45,1621.57,1447.26,1532.94,1559.40
2026-08-09,1479.85,1507.18,1627.57,1441.75,1526.94,1564.90
2026-08-11,1486.97,1501.84,1632.90,1434.63,1535.81,1556.03
2026-08-12,1477.78,1496.72,1638.02,1443.82,1544.27,1547.57
2026-08-13,1485.00,1507.81,1626.94,1436.60,1536.35,1555.49
2026-08-14,1494.60,1500.47,1614.94,1448.60,1543.69,1545.89
2026-08-15,1487.77,1509.46,1603.38,1460.16,1534.70,1552.72
2026-08-16,1481.25,1502.04,1608.26,1455.28,1542.12,1559.24
2026-08-18,1474.64,1492.97,1615.14,1464.35,1548.74,1552.36
2026-08-19,1468.32,1484.31,1605.71,1473.01,1555.06,1561.79
2026-08-20,1478.28,1492.05,1604.70,1465.27,1545.10,1562.80
2026-08-21,1478.28,1501.66,1604.70,1459.07,1551.29,1553.19
2026-08-22,1473.06,1501.66,1609.91,1453.15,1557.22,1553.19
2026-08-23,1484.06,1510.83,1598.92,1447.48,1562.89,1544.01
2026-08-25,1475.22,1504.82,1604.93,1456.32,1570.46,1536.44
2026-08-26,1482.79,1515.06,1594.69,1448.75,1561.68,1545.23
2026-08-27,1474.01,1508.86,1600.88,1457.53,1561.68,1545.23
2026-08-28,1468.80,1501.70,1606.09,1451.86,1567.35,1552.39
2026-08-29,1479.81,1494.86,1595.08,1446.43,1572.78,1559.23
2026-08-30,1474.37,1488.32,1600.52,1441.21,1577.99,1565.77
2026-09-01,1465.61,1498.34,1591.72,1449.97,1567.97,1574.56
2026-09-02,1457.25,1498.34,1591.33,1458.33,1567.97,1574.96
