date,神,広,デ,巨,ヤ,中
2026-07-03,1489.46,1466.82,1423.59,1521.22,1489.23,1461.50
2026-07-04,1489.46,1466.82,1433.08,1511.86,1479.74,1470.86
2026-07-05,1496.94,1459.34,1442.15,1518.92,1470.67,1463.80
2026-07-07,1489.45,1467.60,1450.65,1526.41,1462.41,1455.30
2026-07-08,1498.30,1475.48,1458.75,1517.57,1454.53,1447.19
2026-07-09,1506.74,1467.00,1450.49,1509.12,1463.01,1455.46
2026-07-10,1497.74,1458.73,1459.82,1499.78,1472.01,1463.73
2026-07-11,1505.15,1450.85,1452.74,1506.87,1464.60,1471.61
2026-07-12,1512.22,1459.32,1445.98,1513.63,1457.53,1463.13
2026-07-14,1519.09,1451.02,1454.28,1504.35,1466.81,1456.26
2026-07-15,1509.66,1459.09,1446.21,1511.49,1459.67,1465.69
2026-07-16,1516.66,1459.09,1446.21,1518.31,1452.86,1458.69
2026-07-17,1523.34,1452.40,1454.36,1524.95,1444.70,1452.05
2026-07-18,1513.73,1462.02,1462.14,1515.29,1436.93,1461.71
2026-07-19,1520.55,1455.20,1469.56,1522.07,1429.51,1454.93
2026-07-20,1511.38,1448.72,1478.73,1528.55,1422.09,1462.35
2026-07-21,1518.63,1442.53,1471.48,1534.74,1415.01,1469.42
2026-07-22,1525.55,1452.60,1464.55,1524.67,1424.26,1460.18
2026-07-23,1525.55,1452.60,1464.55,1524.67,1424.26,1460.18
2026-07-24,1517.53,1443.95,1456.45,1532.69,1432.91,1468.28
2026-07-25,1509.88,1435.69,1464.73,1540.34,1441.16,1460.01
2026-07-26,1518.58,1443.82,1456.62,1531.64,1433.04,1468.12
2026-07-31,1524.65,1452.38,1450.32,1537.94,1426.97,1459.56
2026-08-01,1530.46,1444.54,1460.29,1527.96,1421.16,1467.39
2026-08-02,1536.02,1453.07,1469.83,1518.42,1415.59,1458.87
2026-08-03,1536.02,1453.07,1469.83,1518.42,1415.59,1458.87
2026-08-04,1526.52,1462.56,1479.34,1508.94,1408.59,1465.88
2026-08-05,1517.44,1455.62,1488.42,1515.87,1401.89,1472.57
2026-08-06,1524.77,1448.99,1481.09,1522.50,1395.50,1478.97
2026-08-07,1515.72,1441.73,1488.35,1511.70,1406.30,1488.01
2026-08-08,1507.08,1434.80,1495.28,1517.34,1400.65,1496.65
2026-08-09,1514.84,1428.18,1501.90,1522.75,1395.24,1488.89
2026-08-11,1523.03,1428.18,1493.60,1514.57,1395.24,1497.19
2026-08-12,1530.83,1419.42,1501.69,1506.77,1404.00,1489.11
2026-08-13,1538.28,1419.42,1509.40,1499.32,1404.00,1481.40
2026-08-14,1527.64,1430.05,1499.04,1506.91,1414.36,1473.81
2026-08-15,1517.45,1440.24,1489.13,1498.15,1424.27,1482.57
2026-08-16,1523.70,1433.99,1479.65,1505.79,1433.74,1474.93
2026-08-18,1529.68,1442.93,1488.25,1497.19,1427.77,1465.99
2026-08-19,1535.40,1451.46,1496.46,1488.98,1422.05,1457.46
2026-08-20,1524.88,1459.60,1488.29,1497.16,1432.57,1449.32
2026-08-21,1532.04,1452.46,1481.13,1504.29,1424.96,1456.94
2026-08-22,1532.04,1445.65,1481.13,1511.11,1417.69,1464.20
2026-08-23,1538.87,1455.14,1474.29,1501.62,1410.76,1471.14
2026-08-25,1529.33,1463.58,1465.85,1507.57,1404.80,1480.68
2026-08-26,1520.22,1471.63,1457.80,1513.27,1399.10,1489.79
2026-08-27,1527.52,1463.31,1466.12,1518.74,1393.64,1482.49
2026-08-28,1535.32,1453.73,1474.49,1510.94,1403.22,1474.11
2026-08-29,1542.76,1444.57,1482.48,1503.50,1412.38,1466.12
2026-08-30,1549.86,1451.83,1490.11,1496.40,1405.12,1458.50
2026-09-01,1554.71,1459.99,1482.25,1504.25,1400.27,1450.34
2026-09-02,1543.37,1451.76,1490.76,1495.75,1411.61,1458.57
